Priority Class: 1 | Queue Time: 0.23807215690612793
Priority Class: 2 | Queue Time: 0.3523850440979004
Priority Class: 1 | Queue Time: 0.2334439754486084
Priority Class: 2 | Queue Time: 0.6443493366241455
Priority Class: 1 | Queue Time: 0.2349240779876709
Priority Class: 2 | Queue Time: 1.2871100902557373
Priority Class: 1 | Queue Time: 0.22726202011108398
Priority Class: 2 | Queue Time: 0.49405479431152344
Priority Class: 1 | Queue Time: 0.22440600395202637
Priority Class: 2 | Queue Time: 0.058995962142944336
Priority Class: 1 | Queue Time: 0.2189929485321045
Priority Class: 2 | Queue Time: 2.1456961631774902
Priority Class: 1 | Queue Time: 0.2196516990661621
Priority Class: 2 | Queue Time: 2.4335758686065674
Priority Class: 1 | Queue Time: 0.22169995307922363
Priority Class: 2 | Queue Time: 1.2843339443206787
Priority Class: 1 | Queue Time: 0.2203691005706787
Priority Class: 2 | Queue Time: 0.13022303581237793
Priority Class: 1 | Queue Time: 0.22139692306518555
Priority Class: 2 | Queue Time: 0.780829906463623
Priority Class: 1 | Queue Time: 0.21735668182373047
Priority Class: 2 | Queue Time: 0.7006130218505859
Priority Class: 1 | Queue Time: 0.21904993057250977
Priority Class: 2 | Queue Time: 8.91492772102356
Priority Class: 1 | Queue Time: 0.21092700958251953
Priority Class: 2 | Queue Time: 0.5600709915161133
Priority Class: 1 | Queue Time: 0.21394705772399902
Priority Class: 2 | Queue Time: 0.12778115272521973
Priority Class: 1 | Queue Time: 0.21232390403747559
Priority Class: 2 | Queue Time: 2.217191219329834
Priority Class: 1 | Queue Time: 0.21222901344299316
Priority Class: 2 | Queue Time: 0.33819103240966797
Priority Class: 1 | Queue Time: 0.20730924606323242
Priority Class: 2 | Queue Time: 3.8712501525878906
Priority Class: 1 | Queue Time: 0.2060108184814453
Priority Class: 2 | Queue Time: 0.5493500232696533
Priority Class: 1 | Queue Time: 0.203934907913208
Priority Class: 2 | Queue Time: 1.194444179534912
Priority Class: 1 | Queue Time: 0.20146799087524414
Priority Class: 2 | Queue Time: 0.40651535987854004
Priority Class: 1 | Queue Time: 0.199692964553833
Priority Class: 2 | Queue Time: 0.6996781826019287
Priority Class: 1 | Queue Time: 0.19971275329589844
Priority Class: 2 | Queue Time: 0.6204240322113037
Priority Class: 1 | Queue Time: 0.18398499488830566
Priority Class: 2 | Queue Time: 9.544928073883057
Priority Class: 1 | Queue Time: 0.17352604866027832
Priority Class: 2 | Queue Time: 17.754720211029053
