priority_class;queue_time
3;0.0006740093231201172
2;0.00031304359436035156
1;0.0004439353942871094
3;0.0003769397735595703
3;0.00033473968505859375
2;0.0003921985626220703
3;0.00037288665771484375
3;0.0003399848937988281
2;0.0004317760467529297
3;0.0003151893615722656
1;0.0003941059112548828
3;0.00034689903259277344
2;0.00033164024353027344
3;0.00034999847412109375
3;0.0003101825714111328
2;0.00032210350036621094
3;0.0003330707550048828
3;0.00030994415283203125
2;0.0003390312194824219
3;0.0003566741943359375
1;0.0017380714416503906
3;0.00033092498779296875
2;0.00031185150146484375
3;0.0003237724304199219
3;0.00030684471130371094
2;0.0005481243133544922
3;0.0003490447998046875
3;0.00030994415283203125
1;0.0003380775451660156
2;0.0003521442413330078
3;0.00033783912658691406
3;0.00036406517028808594
2;0.00032210350036621094
3;0.0005300045013427734
3;0.0006339550018310547
2;0.00034928321838378906
3;0.0005049705505371094
1;0.0003960132598876953
3;0.0003180503845214844
2;0.0004119873046875
3;0.0003108978271484375
3;0.0003190040588378906
2;0.0003352165222167969
3;0.007143259048461914
3;0.0003681182861328125
2;0.0003342628479003906
3;0.0003330707550048828
1;0.0003159046173095703
3;0.0003190040588378906
2;0.0003509521484375
3;0.00048804283142089844
3;0.00036907196044921875
2;0.00046324729919433594
3;0.0004038810729980469
3;0.0003180503845214844
1;0.00037026405334472656
2;0.00042700767517089844
3;0.00033402442932128906
3;0.0004038810729980469
2;0.0003390312194824219
3;0.0003299713134765625
3;0.00032901763916015625
2;0.00034999847412109375
3;0.00041484832763671875
3;0.00044798851013183594
1;0.0005469322204589844
2;0.0006089210510253906
3;0.000347137451171875
3;0.00045108795166015625
3;0.0004520416259765625
2;0.0003571510314941406
3;0.000370025634765625
3;0.00033593177795410156
2;0.00037980079650878906
1;0.0005340576171875
3;0.0003390312194824219
3;0.0003180503845214844
2;0.0003249645233154297
3;0.00031113624572753906
3;0.0003719329833984375
2;0.0003161430358886719
3;0.0003409385681152344
1;0.0003910064697265625
3;0.0003180503845214844
2;0.0003082752227783203
2;0.0003600120544433594
2;0.00034689903259277344
1;0.0003399848937988281
2;0.00034689903259277344
2;0.0003619194030761719
2;0.00036787986755371094
1;0.0006909370422363281
2;0.00033593177795410156
2;0.001352071762084961
1;0.00033211708068847656
2;0.00032782554626464844
2;0.00030994415283203125
2;0.0003409385681152344
1;0.0003650188446044922
1;0.0006420612335205078
