priority_class;queue_time
1;0.08268594741821289
2;0.14323973655700684
3;0.28480100631713867
3;0.1834239959716797
2;0.08215498924255371
3;0.2142488956451416
3;0.12986516952514648
2;0.006737947463989258
3;0.17218899726867676
1;0.055477142333984375
3;0.20665812492370605
2;0.07904696464538574
3;0.0527348518371582
3;0.3556969165802002
2;0.005892276763916016
3;0.1844770908355713
3;0.08460497856140137
2;0.03596687316894531
1;0.10408616065979004
3;0.32800889015197754
3;0.23727798461914062
2;0.09014558792114258
3;0.05027198791503906
3;0.3651919364929199
2;0.013416767120361328
3;0.1859149932861328
3;0.08350896835327148
1;0.06089282035827637
2;0.05791282653808594
3;0.24532294273376465
3;0.16546320915222168
2;0.028789043426513672
3;0.19277572631835938
3;0.11533403396606445
3;0.02598118782043457
2;0.09627914428710938
1;0.0377810001373291
3;0.16749072074890137
2;0.02866363525390625
3;0.19949984550476074
3;0.10184884071350098
3;0.013444900512695312
2;0.09972190856933594
3;0.03960895538330078
2;0.04205012321472168
1;0.11045289039611816
3;0.28900718688964844
3;0.018166780471801758
2;0.10474896430969238
3;0.43032026290893555
3;0.15634894371032715
2;0.05262303352355957
3;0.19402503967285156
3;0.10226202011108398
1;0.05492830276489258
2;0.10470223426818848
3;0.23685979843139648
3;0.13800287246704102
2;0.019319772720336914
3;0.17101001739501953
3;0.0741126537322998
3;0.01902318000793457
2;0.09128284454345703
3;0.04806017875671387
1;0.1159517765045166
2;0.04884910583496094
3;0.006685972213745117
3;0.33837199211120605
2;0.005655050277709961
3;0.14537692070007324
3;0.07323193550109863
3;0.0055768489837646484
2;0.05243110656738281
1;0.10408711433410645
3;0.1459178924560547
2;0.009203195571899414
3;0.16428399085998535
3;0.07475805282592773
2;0.08739185333251953
3;0.01217508316040039
3;0.308168888092041
1;0.055939674377441406
2;0.13362812995910645
3;0.2583649158477783
3;0.2034142017364502
2;0.07577800750732422
2;0.11075687408447266
1;0.012007951736450195
2;0.05766010284423828
2;0.08756017684936523
2;0.042230844497680664
1;0.060663700103759766
2;0.08895587921142578
2;0.024524211883544922
1;0.09484314918518066
2;0.17460083961486816
2;0.012023210525512695
2;0.031000137329101562
1;0.10629892349243164
1;0.018270015716552734
